chipset,benchmark
Radeon R7 M445,941
Radeon R7 PRO A12-9800,940
Radeon HD 6750M,937
Radeon HD 7560D + HD 8570 Dual,936
Radeon R5 340,935
Radeon R7 PRO A12-8870,932
Radeon HD 7660G + 7730M Dual,931
Radeon R7 240 + HD 8670D Dual,930
GeForce GT 640M,930
Intel Iris Pro 6100,925
"Radeon R5 A6-9500 RADEON R5, 8 COMPUTE CORES 2C+6G",925
Radeon R7 PRO A10-9700E,921
Intel HD Graphics 620,921
Radeon Vega 3 Athlon Gold PRO 3150GE,920
Radeon R7 240 + HD 8570D Dual,918
Radeon R7 A12-9800E RADEON,913
Radeon R7 A8-8650,913
GRID K220Q,912
GRID M6-0B,912
Radeon 6750M,911
Radeon HD 4770,909
Radeon RX Vega 6 Ryzen 3 3200U,906
GRID P40-6Q,905
Radeon R7 M440,903
Intel Iris 6100,901
Radeon HD 8550G + 7600M Dual,901
Radeon R7 240,901
Barco MXRT 7400,901
Barco MXRT 2600,900
Radeon R7 A10-7860K,898
Radeon R7 + R5 Dual,898
Radeon R7 PRO A10-8770,894
Radeon R5 430,893
7900 MOD - Radeon HD 6550D,893
Radeon R7 A10-9700 RADEON,893
Radeon Vega 3,891
Radeon R7 A10-9700E RADEON,887
Radeon R7 + R5 435 Dual A10-9700 RADEON,886
Radeon HD 8650G + 7670M Dual,884
Qualcomm Adreno 680 GPU,883
Radeon HD 7660G + HD 7730M Dual,882
Radeon E6760,877
Radeon R7 PRO A12-8870E,875
Intel HD 6000,875
GRID M10-0B,871
Radeon R7 G,870
Radeon 520,869
Radeon HD 8570D + HD 6570 Dual,868
Mobility Radeon HD 4850,866
Radeon HD 8470D + HD 6450 Dual,863
Intel HD 520,862
Radeon Vega 3 Ryzen Embedded R1606G,857
Radeon R7 A10-8750,856
Radeon R5 M435,854
FirePro 3D V4800,854
Radeon R5 A6-9500 2C+6G,853
Radeon R7 A8-7500 4C+6G,853
Radeon HD 8500M/8700M,853
FirePro W2100,848
Radeon HD 7690M,847
Radeon R5 PRO A6-8570 2C+6G,847
Radeon R7 A8-7670K,846
Radeon HD 4830,844
Radeon R7 A10 Extreme Edition,844
Radeon R7 A8-9600 RADEON,841
Radeon Vega 3 Athlon Silver 3050U,839
FireGL V8600,839
Radeon HD 8470D + 6570 Dual,838
Radeon R7 PRO A8-9600,837
Radeon Vega 3 Athlon Gold PRO 3150G,837
Radeon Ryzen Embedded R2312,837
Radeon HD 8670D + R5 235 Dual,837
Radeon HD 6650A,836
Radeon HD 7560D + 6570 Dual,833
Intel UHD Graphics 617,832
Radeon HD 7520G + HD 7500/7600 Dual,832
Radeon HD 8650G + 8600/8700M Dual,832
Radeon HD 7660G + 7600M Dual,832
Radeon Vega 3 Ryzen 3 3200U,831
Intel HD 5200,830
GeForce 920A,829
GRID M60-0Q,827
Quadro FX 3800,824
GeForce GT 730,824
Radeon HD 7640G N HD 7640G + HD 7600M N HD 7600M D,824
Radeon R7 M365X,824
Radeon R7 A10 PRO-7850B,822
Radeon HD 3850 X2,822
Radeon HD 7540D + 7500 Dual,822
Radeon Vega 3 Athlon 300U,820
Radeon HD 8650G + HD 7600M Dual,820
Radeon HD 8550G + HD 8750M Dual,819
Radeon R7 M260DX,817
Radeon R7 FX-8800P,816
Radeon R9 M280X,814
Radeon HD 7670,813
Radeon HD 8670D + 7000 Dual,812
Radeon HD 8730M,812
GeForce GT 445M,811
GeForce GT 635,811
Radeon R7 A8-7500,811
Radeon R7 PRO A10-8770E,810
Radeon R7 PRO A10-9700,810
GeForce GT 730M,807
Radeon Ryzen 3 3250U,806
Radeon HD 8550G + 8600/8700M Dual,803
Radeon HD 5670,803
Radeon HD 8650G + HD 8790M Dual,800
Radeon R7 A8-7680,798
Radeon R8 M445DX,797
Radeon HD 8650G N HD 8650G + HD 8600/8700M Dual,796
Radeon HD 8550G + 8750M Dual,796
GRID M10-0Q,796
GeForce GT 740M,789
A40-6Q,787
Radeon HD 8650G + 8750M Dual,787
Radeon Athlon Gold 3150U,786
Radeon HD 7730M,782
Radeon R7 A10-7700K,782
Radeon R7 PRO A6-9500 2C+6G,781
Radeon R7 A365,781
Qualcomm Adreno 7c Gen 3 GPU,778
Radeon HD 7660G + HD 7700M Dual,777
Radeon R7 A8-7600,777
Radeon R7 PRO A10-8750B,776
Radeon HD 7640G + 7500M/7600M Dual,776
Radeon HD 4810,775
Radeon 535DX,774
Radeon HD 7600M + 7600M Dual,773
Radeon HD 8650G N HD 8650G + HD 8570M Dual,773
Mobility Radeon HD 5000,773
Radeon R7 A10-8850,773
GeForce GT 440,772
Radeon R7 M270,771
GeForce 825M,771
